k1,k2,k3,o1,o2
0.03,0.03,0.03,2608.4,1590.766667
0.03,0.03,0.04,8860.766667,102.8333333
0.03,0.03,0.05,10008.7,0
0.03,0.03,0.06,10393.1,0
0.03,0.04,0.03,5729.733333,856.9333333
0.03,0.04,0.04,9735.3,0
0.03,0.04,0.05,10255.6,0
0.03,0.04,0.06,10504.63333,0
0.03,0.05,0.03,8517,134.5666667
0.03,0.05,0.04,9806.3,0
0.03,0.05,0.05,10313.6,0
0.03,0.05,0.06,10611.83333,0
0.03,0.06,0.03,8670.033333,158.0333333
0.03,0.06,0.04,10075.23333,0
0.03,0.06,0.05,10516.66667,0
0.03,0.06,0.06,10675.56667,0
0.04,0.03,0.03,792.3666667,1542.633333
0.04,0.03,0.04,3346.733333,1482.266667
0.04,0.03,0.05,8472,154.4
0.04,0.03,0.06,9784.1,0
0.04,0.04,0.03,1286.7,1458.933333
0.04,0.04,0.04,6155.633333,714.2
0.04,0.04,0.05,9433.633333,0
0.04,0.04,0.06,9977.633333,0
0.04,0.05,0.03,3121.033333,1149.4
0.04,0.05,0.04,8732.3,104.4
0.04,0.05,0.05,9920.933333,0
0.04,0.05,0.06,10189,0
0.04,0.06,0.03,5143.933333,755.4666667
0.04,0.06,0.04,9497.166667,0
0.04,0.06,0.05,10091.33333,0
0.04,0.06,0.06,10411.86667,0
0.05,0.03,0.03,300.0666667,1187.3
0.05,0.03,0.04,1004,1604.7
0.05,0.03,0.05,4537.033333,1262.2
0.05,0.03,0.06,7819.433333,320.8333333
0.05,0.04,0.03,601.5,1260.4
0.05,0.04,0.04,2327.5,1468.833333
0.05,0.04,0.05,6829.233333,551.8333333
0.05,0.04,0.06,9362.4,40.06666667
0.05,0.05,0.03,932.4,1226.466667
0.05,0.05,0.04,4615.833333,978.6
0.05,0.05,0.05,8756.133333,98.13333333
0.05,0.05,0.06,9725.766667,0.033333333
0.05,0.06,0.03,1541.033333,1252.133333
0.05,0.06,0.04,7496.766667,314
0.05,0.06,0.05,9502.433333,0.2
0.05,0.06,0.06,10053.23333,0
0.06,0.03,0.03,152.5666667,974.2
0.06,0.03,0.04,580.9333333,1467.166667
0.06,0.03,0.05,1533.266667,1716.033333
0.06,0.03,0.06,5619.8,911.7
0.06,0.04,0.03,392.5333333,1100.866667
0.06,0.04,0.04,930.1,1363
0.06,0.04,0.05,3628.366667,1210.5
0.06,0.04,0.06,7931.866667,282.8
0.06,0.05,0.03,512.7333333,984.2333333
0.06,0.05,0.04,2090.666667,1280.6
0.06,0.05,0.05,5388.166667,806.3
0.06,0.05,0.06,9133.733333,46.86666667
0.06,0.06,0.03,803.9333333,1059.6
0.06,0.06,0.04,4271.233333,888.0333333
0.06,0.06,0.05,8054.466667,165.4666667
0.06,0.06,0.06,9611.033333,0.033333333
